,Created At,Text,Location,Address,Longitude,Latitude
245,Thu Mar 05 17:51:09 +0000 2020," With release NAVADMIN 048/20 , Navy Recruiting Command ( NRC ) officially launched first Navy esports team , Goats & amp ; Glory . Esports part NRC ’ initiatives reach next generation Sailors digital environment - https : //t.co/C4xaIqu00W","NB Point Loma, San Diego, CA","Point Loma, San Diego, San Diego County, California, 92106, United States of America",-117.2444542,32.7265255
246,Thu Mar 05 17:51:12 +0000 2020, RT @ vikramsingh1963 : Shame # trashmander # rubbishkumar,"Varanasi, India","Varanasi, Sadar, Varanasi, Uttar Pradesh, 221101, India",83.0076292,25.3356491
247,Thu Mar 05 17:51:16 +0000 2020," @ RahulGandhi @ INCIndia @ MamataOfficial @ asadowaisi @ IndiaToday bloody pigs , u CAA & amp ; NRC n supporting… https : //t.co/ZTOwCmLMIS","Wrexham, Wales","Wrexham, Wales, LL11 1AP, United Kingdom",-2.9938137,53.0465068
248,Thu Mar 05 17:51:24 +0000 2020," @ neolibreplygirl You n't expert understand huge , huge problems NRC regul… https : //t.co/H2beqNrorZ",portland,"Portland, Multnomah County, Oregon, 97204, United States of America",-122.6741949,45.5202471
251,Thu Mar 05 17:51:26 +0000 2020," From article written Harish Salve : “ If law broader allowed members religious communities Pakistan , Bangladesh Afghanistan migrate India , could well away borders. ” https : //t.co/PgYOEqP3zi","Kota, India","Kota, Rajasthan, India",76.00089330885552,25.1968256
252,Thu Mar 05 17:51:26 +0000 2020," Moulana Abdul Rafeeque , President , JIH # West_Bengal Chapter , addresses huge # protest gathering Uluberia , # Howrah , West Bengal CAA-NRC-NPR . Thousands people attended . Dignitaries different religious civil-society groups graced occasion . # NoNRC # NoNPR https : //t.co/08YhhvJeRG","Dubai, United Arab Emirates","دبي, دبي‎, 24857, United Arab Emirates",55.1713,25.0657
254,Thu Mar 05 17:51:29 +0000 2020," Maharashtra : The Committee study Citizenship Amendment Act ( CAA ) , National Population Register ( NPR ) , National Register Citizens ( NRC ) submit report Chief Minister Uddhav Thackeray .",New York City,"New York, United States of America",-74.0060152,40.7127281
256,Thu Mar 05 17:51:32 +0000 2020, @ DalalSanjeev @ i_theindian Better call Dadi 's & amp ; Nani 's GUSBATIYEA unable show PAPERS ( … https : //t.co/T5yjda7BF9,Jammu And Kashmir,"Jammu and Kashmir, India",76.7972892,34.0476564
258,Thu Mar 05 17:51:38 +0000 2020," @ ARehmanSid @ 10pm Please shred negativity around anti CAA movement , 's positive change ..and pledge… https : //t.co/OoH1QF6IA7","New Delhi, Delhi","New Delhi, Delhi, India",77.2022662,28.6141793
260,Thu Mar 05 17:51:40 +0000 2020," Malik Motasim Khan , National Secretary Jamaat-e-Islami Hind meeting Intellectuals , Professors Business Professionals regarding CAA-NRC-NPR Bhopal # NoCAA # NoNRC # StopNPR https : //t.co/umU6Lzt8m4","Dubai, United Arab Emirates","دبي, دبي‎, 24857, United Arab Emirates",55.1713,25.0657
261,Thu Mar 05 17:51:41 +0000 2020," Students-youth , banner Young India Against CAA/NRC/NPR , marching Peace & amp ; Justice detained different areas Delhi . Not surprised shameful conduct Delhi Police . The students-youth gather Jantar Mantar continue protest . Join https : //t.co/2KxDdjFQXq","Bengaluru, India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India",77.5912997,12.9791198
262,Thu Mar 05 17:51:41 +0000 2020," As Bihar becomes first NDA state pass resolution NRC-NPR , interview @ PavanK_Varma important understand politics behind . Pavan Varma ask Nitish Kumar opposed NRC-NPR support CAA ? @ thewire_in https : //t.co/EDkpfeJ12v","Navi Mumbai, India","Navi Mumbai, Thane, Maharashtra, 400706, India",73.0198537,19.0308262
263,Thu Mar 05 17:51:42 +0000 2020," Looking quick effective relief age old Back Pain , Leg Pain , etc . Welcome Anti-CAA protest UP , world famous treatment Vaidya Shri Yogi Adityanath 🤣🤣😂😂 WATCH IT TO BELIEVE IT Cc @ AB_BJP @ BjymHO @ mahesh10816 @ Aabhas24 @ prettypadmaja https : //t.co/ek6B2UFeHi","Samastipur, Bihar, India","Samastipur, Bihar, India",85.86626813370123,25.7744929
