Sentence,Polarity,Subjectivity
 @ babuchandra01 @ ysjagan The core context NPR distrust government due antics . Also CAA fundamentally constitution mentioning religion qualifier questions arise talk abt persecution minorities 3 neighbors & amp ; .,-0.125,0.375
" They enough courage condemn India even havy sanctions India buys oil . They also working Chabahar together . Only Malaysia , Iran Pakistan spoken . Why rest world silent ? # DelhiBurning # India # CAA # NRC",0.0,0.5333333333333333
" When UNHRC reached SC CAA , India said internal matter OIC & amp ; GCC also CAA Except exception , whole world CAA The whole world Indian media support Modi Govt every wrong steps # IslamoPhobicIndianMedia",-0.024999999999999994,0.42500000000000004
 @ babuchandra01 @ ysjagan Chandra babu must aware combination NRC CAA dangerous . You need consider . Through NRC omit one CAA include everyone except Muslim . Open eyes .,-0.11666666666666665,0.5499999999999999
 No comments Libbies ? Shamless hypocrites 😫🤢 🤮 @ khanumarfa @ BDUTT @ Real_Ravish @ RanaAyyub,0.0,0.0
 @ JRChennaiah @ JosepBorrellF @ eu_eeas @ tcsavunma @ aneichhorst @ EUDelegationTur @ MaratMakmudov Anyone read NR… https : //t.co/hfi5ewR2ek,0.0,0.0
 Cougars Hit The Road For CAA Matchup With Elon https : //t.co/gNRCFDbFkn,0.0,0.0
 @ UNHumanRights decided intervene India 's internal matter # CAA approaching SC.Your organisation partial & amp ; hypocrite u conveniently turn blind eye towards massacre Baloch people Pak army . Your 's spineless organisation . Fk 😠😠,-0.15,0.24166666666666664
" Anti CAA rally Goa 's Benaulim : Now , Congress leader Ramkrishna Jalmi arrested making derogatory remarks Lord Parshuram . Rally organised various bodies including Centre Social Peace & amp ; Justice ( CSJP ) backed Goa Church . Anti CAA become Anti Hindu .",0.016666666666666666,0.2833333333333333
 RT @ CofCSports : Cougars Hit The Road For CAA Matchup With Elon https : //t.co/gNRCFDbFkn,0.0,0.0
 The UN High Commissioner Human Rights ' intervention application three Supreme Court # CAA quite remarkable . Sets international legal standards SC consider without 'taking side ' per se . But blind man see law discriminatory . https : //t.co/Wws0IqgyTa,0.10166666666666668,0.37611111111111106
 Officer stopped & amp ; said I talking # NPR & amp ; # NRC I shocked & amp ; said oh sir thanks lot making us und… https : //t.co/Bgyrbcgl5v,-0.24999999999999997,0.5
 RT @ IndianExpress : Bengaluru based research institute gets threat letter ‘ anti-CAA ’ protests https : //t.co/HgV1XIWkKp,0.0,0.0
 . # India - world ’ largest democracy - tracking well eyes UN Human Rights Commission . Quelle surprise ! https : //t.co/w54gxtRzsq,0.0,0.1
 Ongoing protest CAA baseless idea . Opposition trying hold back government get successful appe… https : //t.co/Hq4EHJNIeC,0.375,0.475
 He Always Rocks😂😂😂,0.0,0.0
 Britain right . Desperate attention . Like one cares https : //t.co/DY14RQc3gI,-0.15714285714285714,0.7678571428571428
 @ Girishvhp @ DrSJaishankar @ MEAIndia Please ensure Subra tamil origin & amp ; resident Malaysia remains hindu . Put pressure ISLAMIC MALAYSIA . If possible amend # CAA & amp ; grant Indian Citizenship . @ PMOIndia,0.0,1.0
" Now govt assured Bangladesh , extend courtesy citizens country ? The fate millions people hangs BJP plays dirty politics . https : //t.co/BRNK6SMoNr",-0.6,0.8
 Labour MP @ stephenctimms said CAA “ decisive move away ” Ambedkar ’ Constitution admired aro… https : //t.co/UOKvD4V3Q4,0.0,0.0
 When South Africa legalised Apartheid took World long time take action sanction total boycott . Th… https : //t.co/VqVCvjappN,0.016666666666666666,0.4166666666666667
" RT @ _CyberSecSocial : Let ’ Encrypt discovers CAA bug , must revoke customer certificates https : //t.co/eallHCXyrk",0.0,0.0
 THANK YOU @ hanno `` lecaa '' tool easily check ( long ) list domains affected @ letsencrypt certificates revoked ( March 4 ! https : //t.co/J6XRq5lkgi Info : https : //t.co/b1TQU5w6Br Also thread @ Scott_Helme *GREAT* info : https : //t.co/7FgNsQZ7sy,0.3902777777777778,0.6611111111111111
 @ babuchandra01 @ shaikshoaib99 @ ysjagan NPR 2020 NPR 2010 . NPR 2020 serves basis NRC . Source : Ministry Home affairs .,0.0,0.0
 RT @ shaikshoaib99 : @ babuchandra01 @ ysjagan Have gone npr nrc ?,0.0,0.0
 RT @ DrexelMLax : Ryan Genord named CAA Co-Player Week . The junior eight goals assist two Drexel wins . https : //t.co/VhsC…,0.3,0.2
 @ JasonMillerinDC https : //t.co/zmFL4BfKTC Interesting comey,0.5,0.5
 Our Muslim neighbour lady attending anti-CAA protests week .Intrigued neighbour ladies ( Hindus ) asked mom . My mom told I would know . Just explained CAA 5 aunties : ) feel 😇,0.5,1.0
 @ OnsMzali @ RanaAyyub How CAA detrimental Muslims ?,0.0,0.0
" Well , let ’ wait see . “ Advertising via privacy-invasive cookies day . Good old contextual advertising becoming norm ” , writes @ nrc . https : //t.co/Skzq34zHVG",0.4166666666666667,0.55
" Top story : Congress leader Goa arrested derogatory remarks Hindu gods https : //t.co/fLCnMTZElR , see m… https : //t.co/xLp3hJHh16",0.5,0.5
 . @ ishkarnBHANDARI @ lawinforce Can man taken court abusing highest court orders ? Can get away openly brazenly going SC judgement ? @ OpIndia_com @ SwarajyaMag https : //t.co/lLYshcIla0,0.0,0.5
 What joke ! ! ! In Baluchistan Pak Army known carried carnages . Bt hey Balochi lives ’ matter bcoz ’ grab eyeballs . UN High commissioner Human Rights ( UNHCR ) lost ’ credibility ex-chief ws spotted taking selfies ISI offcrs frm Pak . https : //t.co/eht5x6aOCO,0.08,0.31999999999999995
 India : Women wearing burqas distribute weapons rioters Fake News reports terrorists rioting Modi 's CAA gives citizenship non-muslims persecuted In several ISLAMIC nations . The REAL goal rioters turn India Islamic Country ! https : //t.co/uhPuZZ3pwb,-0.08333333333333333,0.43333333333333335
 During PhD writing years ( 2010 - 2014 ) I ’ guessed behavioural targeting would topic of… https : //t.co/CxCnzLUEiq,0.0,0.0
 @ ysjagan Do n't spread misinformation . There nothing CAA take away citizenship Indian muslims . As CM must fully aware .,0.25,0.25
" From removing Articles 370 & amp ; 35a Constitution CAA & amp ; NRC , Modi & amp ; BJP whipping anti-Muslim hate . The violence Delhi , dozens died , latest example . Today I called government speak bigotry . https : //t.co/fcsCCgf6cd",-0.15000000000000002,0.9
 UN body goes Supreme Court CAA https : //t.co/xT1InTPC5l,0.0,0.0
